title,year,rating,no_of_reviews,genres,runtime,gross
Angelito San Miguel at Ang Mga Batang City Jail,1991.0,9.8,13,"
Action, Crime, Drama            ",107 min,
Thorn in the Center of the Heart (Sin Lai Guh Ling Bang Do),2021.0,9.7,13,"
Action            ",82 min,
Invisible Hacker,2023.0,9.6,21,"
Action, Sci-Fi            ",150 min,
Turning Mecard W: The Secret of Van dine - Special Edition,2018.0,9.6,8,"
Animation, Action, Adventure            ",76 min,
The Gods 2: The Dark Side,2023.0,9.6,58,"
Action, Crime, Thriller            ",124 min,
Hot Lead Hard Fury,2018.0,9.5,14,"
Action, Comedy            ",118 min,
Star War the Third Gathers: The Backstroke of the West,2010.0,9.4,29,"
Action, Comedy, Sci-Fi            ",140 min,
Prince of Eurasia,2022.0,9.4,61,"
Action, Biography, History            ",60 min,
Hank Is Evil: The Movie,2014.0,9.3,10,"
Action, Comedy, Mystery            ",76 min,
Manhandlers,2012.0,9.3,9,"
Action, Comedy            ",128 min,
Ramayana: The Legend of Prince Rama,1993.0,9.2,"9,173","
Animation, Action, Adventure            ",97 min,
The Stolen Valley,2022.0,9.2,40,"
Action, Western            ",105 min,
Animator vs. Animation V,2020.0,9.2,43,"
Animation, Action, Adventure            ",31 min,
Revenge Strategy,2016.0,9.2,20,"
Action, Crime, Mystery            ",95 min,
Fight!,2018.0,9.2,67,"
Action, Drama, Thriller            ",90 min,
Pinpoint,2022.0,9.2,32,"
Action, Adventure            ",99 min,
Time and Time Again,2013.0,9.2,115,"
Action, Adventure            ",95 min,
WWE: Paige - Iconic Matches,2019.0,9.2,10,"
Action, Sport            ",65 min,
Promise Chronicles - Manifestation,2022.0,9.2,12,"
Action, Adventure, Drama            ",160 min,
Black Widow: Forever Red Part 1 and 2,2021.0,9.2,12,"
Action, Mystery            ",50 min,
Code 0044,2016.0,9.2,5,"
Action, Crime, Drama            ",101 min,
A Group of Rapscallions Obsess Over A Mod Crafted (Lovingly) By Gerald,2022.0,9.1,7,"
Action, Adventure, Comedy            ",68 min,
The Iridescent,2021.0,9.1,7,"
Action, Crime            ",83 min,
The Dark Knight,2008.0,9.0,"2,706,558","
Action, Crime, Drama            ",152 min,$534.86M
The Lord of the Rings: The Return of the King,2003.0,9.0,"1,880,283","
Action, Adventure, Drama            ",201 min,$377.85M
Deck of Cards,2022.0,9.0,194,"
Action, Adventure, Comedy            ",45 min,
Deciphering Me,2015.0,9.0,42,"
Action, Drama            ",112 min,
Finding Purpose: The Road to Redemption,2019.0,9.0,123,"
Action, Adventure, Comedy            ",90 min,
The Somali Dervish,1983.0,9.0,15,"
Action, Drama, History            ",270 min,
Kaidi Ko Patra: A letter from Prisoner,2022.0,10.0,5,"
Crime, Drama, Mystery            ",130 min,
Tahanan (Home),2022.0,10.0,22,"
Drama, Romance            ",62 min,
Velocity Girl,2023.0,9.9,7,"
Drama, Romance            ",102 min,
Past Present Future,2014.0,9.8,7,"
Comedy, Drama, Romance            ",95 min,
Sing to Me Sylvie,2021.0,9.7,6,"
Drama, Music, Romance            ",104 min,
About him & her,2023.0,9.6,14,"
Romance            ",97 min,
Life of an Alpha Male,2021.0,9.6,21,"
Romance            ",150 min,
The Elixir of Love,2009.0,9.6,6,"
Comedy, Music, Romance            ",158 min,
Adam & the Water,2022.0,9.5,15,"
Drama, Fantasy, Romance            ",82 min,
Life of St. Paul Series,1949.0,9.5,8,"
Biography, Drama, History            ",360 min,
Peak Season,2023.0,9.4,10,"
Comedy, Drama, Romance            ",82 min,
Curiosity Killed the Cat,2012.0,9.4,16,"
Comedy, Drama, Romance            ",85 min,
Of Sound Mind,2015.0,9.4,8,"
Romance, Thriller            ",90 min,
Finding Your True Self,2022.0,9.3,8,"
Drama, Romance            ",82 min,
High Hopes 2: A New Beginning,2016.0,9.3,11,"
Comedy, Romance            ",60 min,
Tender Days,2021.0,9.3,7,"
Drama, Romance            ",95 min,
The Man Who Couldn't,2005.0,9.3,18,"
Romance            ",95 min,
Mustache,2023.0,9.2,31,"
Comedy, Drama, Family            ",81 min,
D Is for Detroit,2022.0,9.2,9,"
Drama, Romance, Thriller            ",95 min,
Friends of Luke,2022.0,9.2,5,"
Comedy, Drama, Romance            ",91 min,
Tiger Lily,2015.0,9.2,11,"
Drama, Family, Romance            ",60 min,
The Life After,2007.0,9.2,8,"
Drama, Romance            ",84 min,
My Culture,2019.0,9.2,16,"
Romance            ",73 min,
Lost in Manhattan: The Love Story of Hymie and Thelma,2015.0,9.2,6,"
Comedy, Romance            ",47 min,
Constant Angel,2013.0,9.2,16,"
Adventure, Drama, Romance            ",51 min,
Tu Hovein Main Hovan,2023.0,9.1,70,"
Drama, Family, Romance            ",113 min,
Gala & Godfrey,2016.0,9.1,19,"
Comedy, Drama, Romance            ",118 min,
Golden Lotus,2022.0,9.1,43,"
Drama, Musical, Romance            ",105 min,
The Hardest Thing to Earn,2015.0,9.1,11,"
Comedy, Crime, Drama            ",81 min,
La compagne des morts,2019.0,9.1,20,"
Drama, Fantasy, Mystery            ",72 min,
Nuvvante Pichhe,2021.0,9.1,106,"
Romance            ",102 min,
Sarah,2013.0,9.1,15,"
Drama, Romance, Thriller            ",71 min,
Charlie and Wendy,2015.0,9.1,17,"
Comedy, Drama, Romance            ",103 min,
Anyone You Want,2010.0,9.0,75,"
Romance            ",87 min,
Rubaru,2021.0,9.0,5,"
Drama, Romance            ",98 min,
Darbo d'Hubo - The Way of Love,2007.0,9.0,5,"
Drama, Romance            ",140 min,
LA Underground,2012.0,9.0,14,"
Comedy, Romance, Sport            ",50 min,
Mudita,2017.0,9.0,7,"
Drama, Music, Musical            ",140 min,
Raskal Love,2012.0,9.0,22,"
Action, Biography, Drama            ",90 min,
The Tale of a Pusher,2016.0,9.0,11,"
Action, Crime, Drama            ",96 min,
The Mike King Story Special Feature,1993.0,9.0,67,"
Action            ",51 min,
Roadkill,2022.0,8.9,29,"
Action, Drama, Thriller            ",93 min,
The Message,1976.0,8.9,"9,795","
Action, Adventure, Biography            ",207 min,
A Touch of Vengeance,2022.0,8.9,28,"
Action, Crime, Drama            ",62 min,
Super Mario Bros. Z 4K,2020.0,8.9,27,"
Animation, Action, Adventure            ",200 min,
The Thundering 8th,2000.0,8.9,85,"
Action, Drama, Romance            ",100 min,
Revenge of the Dudek,2021.0,8.9,16,"
Action, Adventure, Fantasy            ",102 min,
Ang pumatay ng dahil sa iyo,1989.0,8.9,44,"
Action            ",90 min,
Tragedy of a Mother and Son,2012.0,8.9,30,"
Action, Drama, Family            ",90 min,
Jayden Tries: The Fight 4 All Reality,2022.0,8.9,17,"
Action            ",55 min,
Siege at Desert Pass,2017.0,8.9,14,"
Action            ",48 min,
A Working Title,2017.0,8.9,16,"
Action, Drama, Romance            ",115 min,
Bare Knuckle,2014.0,8.9,20,"
Action, Drama            ",70 min,
Inception,2010.0,8.8,"2,402,450","
Action, Adventure, Sci-Fi            ",148 min,$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001.0,8.8,"1,909,192","
Action, Adventure, Drama            ",178 min,$315.54M
The Lord of the Rings: The Two Towers,2002.0,8.8,"1,697,418","
Action, Adventure, Drama            ",179 min,$342.55M
Kill Bill: The Whole Bloody Affair,2006.0,8.8,"13,910","
Action, Crime, Thriller            ",247 min,
Lemon man vs the Multiverse,2023.0,8.8,9,"
Animation, Action, Sci-Fi            ",19 min,
Meta Runner Season 1 (Full Movie Cut),2020.0,8.8,20,"
Animation, Action, Adventure            ",124 min,
The Dark Knight: The Ballad of the N Word,2018.0,8.8,141,"
Action, Comedy, Crime            ",129 min,
Devil in Agbada,2021.0,8.8,68,"
Action            ",115 min,
Suspended Inspector Boro,2018.0,8.8,53,"
Action, Crime, Thriller            ",100 min,
Tranquility - An Independent Film,2021.0,8.8,18,"
Action, Drama, Mystery            ",70 min,
Bullet War Part 1 - Battle of Madness,2022.0,8.8,13,"
Animation, Action, Thriller            ",48 min,
Lego Minecraft Movie 3,2016.0,8.8,6,"
Animation, Action, Adventure            ",64 min,
Hollywood Burn,2006.0,8.8,40,"
Action, Comedy, History            ",52 min,
Money Mechanics,2013.0,8.8,6,"
Action, Crime, Drama            ",106 min,
The Hidden Side of the Things,2015.0,8.8,13,"
Action, Fantasy, Mystery            ",90 min,
Interview with the Hitman,2019.0,8.8,5,"
Action            ",90 min,
The Jadon264 Movie,2023.0,8.8,10,"
Action            ",64 min,
Dark Sky Blue,2015.0,8.8,12,"
Action, Adventure, Drama            ",63 min,
Exodos,2007.0,8.8,90,"
Action, Adventure, Crime            ",96 min,
Hat Trick,2005.0,8.8,90,"
Action            ",82 min,
Bad Tara,2012.0,8.8,12,"
Action, Crime            ",72 min,
A Clean Exit,2016.0,8.8,15,"
Action, Crime, Drama            ",118 min,
Kindling,2023.0,8.9,75,"
Drama, Romance            ",94 min,
Love Sorries,2021.0,8.9,97,"
Comedy, Drama, Romance            ",101 min,
Just a Friend,2019.0,8.9,19,"
Comedy, Romance            ",78 min,
All for You,2009.0,8.9,43,"
Drama, Romance, Thriller            ",80 min,
Love N Success,2015.0,8.9,15,"
Comedy, Drama, Romance            ",100 min,
A Date,2020.0,8.9,7,"
Romance            ",90 min,
I Am Better Because of You,2020.0,8.9,11,"
Drama, Romance            ",150 min,
The Brightest Colours Make Grey,2013.0,8.9,24,"
Comedy, Drama, Romance            ",89 min,
Uncommitted,2015.0,8.9,74,"
Drama, Romance            ",112 min,
The Great Intervention,2010.0,8.9,20,"
Biography, Comedy, Romance            ",90 min,
Having My Baby,2009.0,8.9,8,"
Drama, Romance            ",115 min,
Forrest Gump,1994.0,8.8,"2,127,007","
Drama, Romance            ",142 min,$330.25M
Parachute,2023.0,8.8,22,"
Drama, Romance            ",97 min,
The Phantom of the Opera at the Royal Albert Hall,2011.0,8.8,"9,498","
Drama, Music, Musical            ",137 min,
Molli and Max in the Future,2023.0,8.8,29,"
Comedy, Romance, Sci-Fi            ",93 min,
National Theater Live: Cyrano de Bergerac,2019.0,8.8,438,"
Drama, Romance            ",160 min,
Proximity,2016.0,8.8,35,"
Romance            ",76 min,
Teenage Girl: Skip Day,2022.0,8.8,36,"
Comedy, Drama, Romance            ",81 min,
"Charlie, Trevor and a Girl Savannah",2015.0,8.8,109,"
Crime, Romance, Thriller            ",93 min,
Life Begins Now,2017.0,8.8,"2,217","
Drama, Romance            ",84 min,
Adrift Under Light,2020.0,8.8,18,"
Drama, Fantasy, Romance            ",97 min,
And They Call It Puppy Love,2013.0,8.8,9,"
Crime, Drama, Romance            ",93 min,
One Stop for Love,2020.0,8.8,69,"
Comedy, Romance            ",65 min,
Almost Human,1927.0,8.8,368,"
Drama, Romance            ",60 min,
Between You and Me,2015.0,8.8,19,"
Drama, Romance, Thriller            ",117 min,
Gregor,2014.0,8.8,11,"
Comedy, Drama, Romance            ",73 min,
Kinsman,2018.0,8.8,7,"
Comedy, Drama, Romance            ",107 min,
Navy,2021.0,8.8,32,"
Drama, Romance            ",90 min,
Rental,2017.0,8.8,13,"
Comedy, Drama, Romance            ",78 min,
Dreaming on Christmas,2005.0,8.8,47,"
Comedy, Romance            ",100 min,
Tick Tock Boom Clap,2011.0,8.8,76,"
Comedy, Drama, Romance            ",109 min,
Ever Last,2012.0,8.8,19,"
Comedy, Drama, Fantasy            ",79 min,
For Serious,2014.0,8.8,10,"
Comedy, Drama, Romance            ",85 min,
Antique Prayers,2014.0,8.8,28,"
Drama, Family, Romance            ",49 min,
In the City,2009.0,8.8,14,"
Comedy, Romance            ",47 min,
Ageless Love,2021.0,8.7,81,"
Romance            ",99 min,
The Matrix,1999.0,8.7,"1,950,090","
Action, Sci-Fi            ",136 min,$171.48M
Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,"1,315,850","
Action, Adventure, Fantasy            ",124 min,$290.48M
The Legend of Maula Jatt,2022.0,8.7,"9,941","
Action, Drama, Fantasy            ",153 min,
Voltes V: Legacy - The Cinematic Experience,2023.0,8.7,273,"
Action, Adventure, Drama            ",105 min,
Vice City,2021.0,8.7,7,"
Action, Crime            ",48 min,
The Blackhawk Dilemma,2016.0,8.7,90,"
Action            ",74 min,
Clank: Legacy,2016.0,8.7,83,"
Action, Thriller            ",141 min,
Fatal Mission,1990.0,8.7,26,"
Action, Adventure            ",90 min,
A Family of Killers,2018.0,8.7,9,"
Action, Adventure, Comedy            ",101 min,
Call of Babylon,2012.0,8.7,9,"
Action, Drama, Thriller            ",111 min,
The Victims,2016.0,8.7,19,"
Action            ",93 min,
Love Is a Thieves' Game,2011.0,8.7,109,"
Action, Crime, Drama            ",91 min,
The Tale of the Sparrow,2015.0,8.7,15,"
Action, Comedy            ",90 min,
The Green Bandits,2013.0,8.7,18,"
Action, Drama            ",60 min,
Celestial Hunt,2013.0,8.7,10,"
Action, Drama, Thriller            ",96 min,
Star Wars: Episode IV - A New Hope,1977.0,8.6,"1,388,283","
Action, Adventure, Fantasy            ",121 min,$322.74M
Terminator 2: Judgment Day,1991.0,8.6,"1,119,082","
Action, Sci-Fi            ",137 min,$204.84M
Statica,2023.0,8.6,13,"
Action, Adventure, Crime            ",92 min,
Dark Angels,1998.0,8.6,29,"
Action, Crime, Drama            ",90 min,
Rupture,2022.0,8.6,12,"
Action, Thriller            ",84 min,
The Smoke Master,2022.0,8.6,25,"
Action, Comedy            ",104 min,
New Prime,2011.0,8.6,288,"
Action, Comedy, Sci-Fi            ",60 min,
Worth Fighting For,2017.0,8.6,46,"
Action, Drama            ",107 min,
Kung Fu Brothers,2020.0,8.6,12,"
Action            ",72 min,
Balkan Blood,2019.0,8.6,9,"
Action            ",68 min,
The Fearless Two,2019.0,8.6,13,"
Action, Thriller            ",107 min,
Preto the Movie,2016.0,8.6,10,"
Action, Drama            ",56 min,
Barumbado,1990.0,8.6,43,"
Action            ",90 min,
Kaphal: Wild Berries,2013.0,8.6,49,"
Action, Adventure, Drama            ",90 min,
Skid Row,2013.0,8.6,19,"
Action, Crime, Horror            ",96 min,
The Silver Vindicator,2021.0,8.6,16,"
Action, Drama, Horror            ",163 min,
Djävligt jagad,1995.0,8.6,101,"
Action, Comedy            ",71 min,
RiffTrax: Fugitive Rage,2022.0,8.6,16,"
Action, Comedy, Drama            ",78 min,
Chase in Space,2006.0,8.6,16,"
Action, Comedy            ",56 min,
The Colour of Spring,2020.0,8.7,32,"
Romance, Thriller            ",94 min,
Teenage Girl: Valerie's Holiday,2019.0,8.7,67,"
Comedy, Drama, Romance            ",90 min,
I Left My Girlfriend for Regina Jones,2019.0,8.7,23,"
Romance            ",90 min,
Moviestar*,2015.0,8.7,11,"
Drama, Romance            ",87 min,
Little Black Lie,2019.0,8.7,26,"
Drama, Romance, Thriller            ",119 min,
Laurence,2016.0,8.7,15,"
Crime, Drama, Horror            ",100 min,
Tarot: A Documentary Love Story,2014.0,8.7,39,"
Comedy, Drama, Romance            ",90 min,
Closet Space: The Movie,2016.0,8.7,10,"
Comedy, Drama, Romance            ",105 min,
Being Nice,2014.0,8.7,11,"
Drama, Romance            ",85 min,
Cine Loteria,2018.0,8.7,25,"
Comedy, Romance            ",89 min,
Cyberdorm,1999.0,8.7,36,"
Romance            ",104 min,
Tempting Fate,2015.0,8.7,42,"
Drama, Romance, Thriller            ",115 min,
Rattle Basket,2007.0,8.7,104,"
Comedy, Drama, Romance            ",98 min,
Dramebaaj,2021.0,8.7,35,"
Comedy, Drama, Family            ",131 min,
Destiny's Calling,2011.0,8.7,26,"
Drama, Romance            ",95 min,
"Dreams, Washed Out",2018.0,8.7,14,"
Drama, Mystery, Romance            ",118 min,
When the Time Comes,2011.0,8.7,12,"
Comedy, Drama, Romance            ",82 min,
Seahorses,2014.0,8.7,426,"
Drama, Romance            ",94 min,
How to Make Movies at Home,2012.0,8.7,24,"
Comedy, Drama, Romance            ",94 min,
Marked for Life,2006.0,8.7,17,"
Comedy, Romance            ",112 min,
Persistence of Memory,2014.0,8.7,7,"
Biography, Drama, Romance            ",105 min,
"The Completely Remarkable, Utterly Fabulous Transformation of a Regular Joe",2008.0,8.7,74,"
Romance            ",95 min,
Soeurs,1992.0,8.7,23,"
Romance            ",84 min,
The Friends We Haven't Met Yet,2009.0,8.7,8,"
Comedy, Drama, Romance            ",70 min,
Lullabye Before I Wake,2008.0,8.7,12,"
Romance            ",106 min,
"Love, Pride and Other Nonsense",2012.0,8.7,28,"
Drama, Romance            ",100 min,
Life Is Beautiful,1997.0,8.6,"708,654","
Comedy, Drama, Romance            ",116 min,$57.60M
It's a Wonderful Life,1946.0,8.6,"470,605","
Drama, Family, Fantasy            ",130 min,
If You Were the Last,2023.0,8.6,26,"
Romance, Sci-Fi            ",89 min,
Pela Adhi Akshar,2017.0,8.6,32,"
Comedy, Drama, Romance            ",140 min,
"Max, Min and Meowzaki",2022.0,8.6,17,"
Comedy, Drama, Romance            ",147 min,
"Apples, Oranges, Lemons & Limes",2022.0,8.6,8,"
Comedy, Drama, Romance            ",45 min,
Hey Lover,2022.0,8.6,7,"
Drama, Romance            ",48 min,
Road Rage,2016.0,8.6,12,"
Comedy, Drama, Romance            ",103 min,
Midlife,2015.0,8.6,43,"
Drama, Romance            ",103 min,
Spring Interlude,2019.0,8.6,10,"
Drama, Romance            ",79 min,
Out of Focus,2010.0,8.6,17,"
Comedy, Drama, Romance            ",45 min,
A Fool's Paradise,2013.0,8.6,20,"
Action            ",67 min,
A Happy Ending,2005.0,8.6,74,"
Action, Comedy, Drama            ",60 min,
Drawn by Pain,2007.0,8.6,107,"
Action            ",90 min,
The Flower of Desire,1993.0,8.6,11,"
Action            ",80 min,
The Empty Hands,2011.0,8.6,12,"
Action            ",90 min,
Léon: The Professional,1994.0,8.5,"1,184,302","
Action, Crime, Drama            ",110 min,$19.50M
Michael Jackson: Smooth Criminal (II),1988.0,8.5,605,"
Action, Crime, Fantasy            ",48 min,
Nettle,2016.0,8.5,"1,976","
Action, Comedy, Drama            ",63 min,
Guns and Grams,2016.0,8.5,44,"
Action, Crime, Drama            ",105 min,
Mikeyboy,2013.0,8.5,198,"
Action, Adventure, Comedy            ",90 min,
007: Shadows,2020.0,8.5,19,"
Action            ",96 min,
DownLoad,2015.0,8.5,7,"
Action, Fantasy, Sci-Fi            ",85 min,
TeraStorm,2022.0,8.5,19,"
Animation, Action, Sci-Fi            ",62 min,
Eagles Nest,2014.0,8.5,9,"
Action            ",90 min,
Bebhaan,2019.0,8.5,8,"
Action            ",120 min,
"Theoretically, a paranoid conspiratorial phone call",2020.0,8.5,8,"
Action, Adventure, Comedy            ",92 min,
Love or Laughs,2019.0,8.5,9,"
Action, Comedy, Romance            ",81 min,
OH-Blivion,2019.0,8.5,6,"
Action            ",45 min,
Lovers,2020.0,8.5,10,"
Action, Comedy, Drama            ",72 min,
681 AD: The Glory of Khan,1981.0,8.5,442,"
Action, Drama, History            ",95 min,
Joe Stryker,2019.0,8.5,15,"
Action, Comedy            ",93 min,
Bullets Over Brownsville,2009.0,8.5,15,"
Action, Drama            ",94 min,
El Gallo,2013.0,8.5,57,"
Action, Crime, Drama            ",89 min,
Blood Painting,2016.0,8.5,19,"
Action, Mystery, Thriller            ",76 min,
My China Doll,2017.0,8.5,6,"
Action, Drama            ",90 min,
Dead in Texas,2005.0,8.5,13,"
Action, Comedy, Thriller            ",80 min,
Paird,2019.0,8.5,9,"
Animation, Action, Adventure            ",106 min,
Catching Junior Tate,2015.0,8.5,15,"
Action, Adventure, Comedy            ",110 min,
Dope Boys,2020.0,8.5,7,"
Animation, Action, Crime            ",87 min,
Clear Skies 2,2009.0,8.5,13,"
Animation, Action, Sci-Fi            ",45 min,
A Life More Ordinary,2002.0,8.5,90,"
Action, Adventure            ",85 min,
Max Peril,2015.0,8.5,51,"
Action, Comedy            ",96 min,
Honorable Retribution,2010.0,8.5,20,"
Action, Drama            ",60 min,
Clank: Red Mosaic,2017.0,8.5,64,"
Action, Adventure            ",112 min,
Temuan Takdir,2016.0,8.5,11,"
Action, Crime            ",85 min,
Alpha Protocol: Solomon's Stele,2012.0,8.5,54,"
Action            ",126 min,
Defending Against Attack 'the Complete Guide',2008.0,8.5,31,"
Action            ",180 min,
Avengers: Endgame,2019.0,8.4,"1,171,046","
Action, Adventure, Drama            ",181 min,$858.37M
Spider-Man: Into the Spider-Verse,2018.0,8.4,"557,306","
Animation, Action, Adventure            ",117 min,$190.24M
Raiders of the Lost Ark,1981.0,8.4,"982,942","
Action, Adventure            ",115 min,$248.16M
When the Wheels Fall Off,2016.0,8.6,7,"
Drama, Romance            ",77 min,
Ladies Night,1983.0,8.6,9,"
Crime, Drama, Mystery            ",91 min,
In Da Cut,2013.0,8.6,12,"
Comedy, Romance            ",103 min,
Meeting on the Stairs,2012.0,8.6,10,"
Drama, Romance            ",72 min,
Giorgio Bush and the B-people,2015.0,8.6,8,"
Comedy, Romance            ",84 min,
Kontrast,2009.0,8.6,17,"
Drama, Romance            ",85 min,
Addison,2011.0,8.6,10,"
Comedy, Drama, Romance            ",98 min,
Shoebox Memories,2016.0,8.6,17,"
Comedy, Drama, Romance            ",75 min,
Progression,2014.0,8.6,36,"
Comedy, Romance            ",85 min,
Something Between Us,2000.0,8.6,17,"
Comedy, Romance            ",79 min,
The New Normal,2010.0,8.6,8,"
Comedy, Drama, Romance            ",69 min,
Ballin in the Fall of America: When Everything Else Fails,2015.0,8.6,9,"
Drama, Romance            ",106 min,
Terrible Love,2014.0,8.6,10,"
Drama, Romance            ",93 min,
Building Bombs,2000.0,8.6,25,"
Comedy, Drama, Romance            ",100 min,
Tears of Remedy,2011.0,8.6,80,"
Drama, Fantasy, Romance            ",110 min,
Return to Nowhere,2013.0,8.6,10,"
Drama, Family, Romance            ",104 min,
Generation Me,2012.0,8.6,82,"
Comedy, Music, Romance            ",120 min,
Strictly Professional,2018.0,8.6,7,"
Comedy, Romance            ",88 min,
King B.'s Intimate Friends,2010.0,8.6,11,"
Romance            ",88 min,
Tim & Leon,2014.0,8.6,7,"
Comedy, Fantasy, Romance            ",74 min,
Dancing Alone,2007.0,8.6,14,"
Drama, Mystery, Romance            ",60 min,
Life at Grandpa's,2009.0,8.6,12,"
Romance            ",110 min,
Casablanca,1942.0,8.5,"581,639","
Drama, Romance, War            ",102 min,$1.02M
Modern Times,1936.0,8.5,"247,417","
Comedy, Drama, Romance            ",87 min,$0.16M
City Lights,1931.0,8.5,"187,982","
Comedy, Drama, Romance            ",87 min,$0.02M
The Best of Youth,2003.0,8.5,"22,527","
Drama, Romance            ",366 min,$0.27M
Swathi Muthyam,1986.0,8.5,897,"
Drama, Family, Romance            ",160 min,
Sally Pacholok,2015.0,8.5,94,"
Biography, Drama, Romance            ",83 min,
Pakistani Chainsaw: A Love Story,2021.0,8.5,46,"
Comedy, Horror, Romance            ",100 min,
Hyde Park,2022.0,8.5,16,"
Romance            ",89 min,
What Is True Love?,2015.0,8.5,116,"
Drama, Romance            ",74 min,
Mr & Mrs,2012.0,8.5,11,"
Drama, Family, Romance            ",100 min,
Loving Amanda,2022.0,8.5,16,"
Romance            ",112 min,
Far from the Altar,2014.0,8.5,15,"
Drama, Romance            ",155 min,
Maging akin ka lamang,1987.0,8.5,59,"
Drama, Romance            ",122 min,
Second Impression,2016.0,8.5,11,"
Comedy, Romance            ",87 min,
This Is You,2017.0,8.5,6,"
Comedy, Drama, Romance            ",96 min,
Onaatah: Of the Earth,2016.0,8.5,32,"
Drama, Romance            ",108 min,
Act/Or,2015.0,8.5,10,"
Comedy, Drama, Romance            ",94 min,
Aliens,1986.0,8.4,"730,157","
Action, Adventure, Sci-Fi            ",137 min,$85.16M
Avengers: Infinity War,2018.0,8.4,"1,115,181","
Action, Adventure, Sci-Fi            ",149 min,$678.82M
The Dark Knight Rises,2012.0,8.4,"1,735,137","
Action, Drama, Thriller            ",164 min,$448.14M
Primal: Tales of Savagery,2019.0,8.4,"2,151","
Animation, Action, Adventure            ",85 min,
Adagium,2023.0,8.4,29,"
Action, Drama            ",124 min,
Warriors: Into The Wild: The Movie,2017.0,8.4,10,"
Action, Adventure, Drama            ",150 min,
Deadpool Movie in Lego,2021.0,8.4,67,"
Animation, Action, Adventure            ",108 min,
Mario Warfare: The Complete Saga,2015.0,8.4,44,"
Action            ",77 min,
Detective Inspector,2022.0,8.4,7,"
Action, Comedy, Crime            ",75 min,
Out of the Fight,2020.0,8.4,90,"
Action, Drama, War            ",108 min,
Rampage Electra,2023.0,8.4,14,"
Action, Crime, Mystery            ",115 min,
Dora's Peace,2016.0,8.4,62,"
Action, Crime, Drama            ",85 min,
Aviator,2016.0,8.4,82,"
Action, Drama, Thriller            ",87 min,
Danger Diva,2020.0,8.4,27,"
Action, Sci-Fi, Thriller            ",105 min,
Lego Minecraft Movie,2015.0,8.4,11,"
Animation, Action, Adventure            ",62 min,
Padaka,2021.0,8.4,266,"
Action            ",120 min,
Alfa Maschi,2016.0,8.4,26,"
Action, Crime, Drama            ",105 min,
Lethal Point,2016.0,8.4,10,"
Action, Adventure            ",89 min,
The Glint of Darkness: Revolution,2020.0,8.4,29,"
Action, Crime, Mystery            ",51 min,
Star Wars: The Rise of Ren,2018.0,8.4,8,"
Action            ",61 min,
The Lost Scene V: Retribution,2020.0,8.4,31,"
Action            ",52 min,
King Lee,2013.0,8.4,30,"
Action, Comedy, History            ",96 min,
Shadowman,2009.0,8.4,20,"
Action, Drama            ",90 min,
Ninja Cowboy Viking vs. the GadgetGents,2017.0,8.4,16,"
Action, Adventure, Comedy            ",91 min,
The Holy Man,2016.0,8.4,10,"
Action, Drama, Sport            ",83 min,
Rebecca 2,2011.0,8.4,13,"
Action, Comedy, Mystery            ",90 min,
The Distant Boat,2013.0,8.4,22,"
Action, Drama, Family            ",121 min,
Project Z,2015.0,8.4,6,"
Action            ",77 min,
JailCity,2006.0,8.4,47,"
Action, Crime, Drama            ",99 min,
"Minor Daemon, Volume 1",2021.0,8.4,6,"
Animation, Action, Comedy            ",90 min,
Like Al,2011.0,8.4,105,"
Action, Crime, Drama            ",55 min,
Go West Happy Cow,2010.0,8.4,19,"
Action, Adventure, Comedy            ",87 min,
Rinoplasticos: A Warrior's Journey,2014.0,8.4,47,"
Action, Adventure, Sci-Fi            ",55 min,
Top Gun: Maverick,2022.0,8.3,"576,511","
Action, Drama            ",130 min,$718.73M
Star Wars: Episode VI - Return of the Jedi,1983.0,8.3,"1,073,015","
Action, Adventure, Fantasy            ",131 min,$309.13M
North by Northwest,1959.0,8.3,"333,630","
Action, Adventure, Mystery            ",136 min,$13.28M
Dangal,2016.0,8.3,"196,441","
Action, Biography, Drama            ",161 min,$12.39M
Americana,2023.0,8.3,35,"
Action, Comedy, Crime            ",110 min,
Life Without Hope,2020.0,8.3,87,"
Action            ",89 min,
Todd McFarlane's Spawn 2,1998.0,8.3,"1,020","
Animation, Action, Adventure            ",146 min,
Enter the Drag Dragon,2023.0,8.3,25,"
Action, Adventure, Comedy            ",99 min,
Deadline,2016.0,8.5,17,"
Comedy, Romance            ",95 min,
Yolanda,1924.0,8.5,152,"
Romance            ",100 min,
I Wish You Love,2015.0,8.5,16,"
Family, Romance            ",90 min,
"Yes, and...",2014.0,8.5,16,"
Comedy, Drama, Romance            ",96 min,
In Return,2012.0,8.5,49,"
Comedy, Drama, Romance            ",93 min,
The Passion of Love,2018.0,8.5,8,"
Drama, Romance            ",80 min,
Empty Fuller,2008.0,8.5,76,"
Drama, Romance, Thriller            ",89 min,
The Confabulators,2013.0,8.5,13,"
Comedy, Mystery, Romance            ",90 min,
Landfall,2001.0,8.5,21,"
Adventure, Drama, Romance            ",94 min,
Brass Tacks,2004.0,8.5,32,"
Drama, Music, Romance            ",96 min,
A Man's Desire for Fifth Wife,2012.0,8.5,15,"
Drama, Romance, Sport            ",90 min,
Afternoon Is Night,2015.0,8.5,6,"
Comedy, Drama, Romance            ",84 min,
